day,price,sub_category,main_category
2017-05-24,10050,Beras Kualitas Bawah 1,Beras
2017-05-26,10050,Beras Kualitas Bawah 1,Beras
2017-05-29,10050,Beras Kualitas Bawah 1,Beras
2017-05-30,10050,Beras Kualitas Bawah 1,Beras
2017-05-31,10050,Beras Kualitas Bawah 1,Beras
2017-06-02,10050,Beras Kualitas Bawah 1,Beras
2017-06-05,10100,Beras Kualitas Bawah 1,Beras
2017-06-06,10100,Beras Kualitas Bawah 1,Beras
2017-06-07,10100,Beras Kualitas Bawah 1,Beras
2017-06-08,10050,Beras Kualitas Bawah 1,Beras
2017-06-09,10100,Beras Kualitas Bawah 1,Beras
2017-06-12,10100,Beras Kualitas Bawah 1,Beras
2017-06-13,10100,Beras Kualitas Bawah 1,Beras
2017-06-14,10100,Beras Kualitas Bawah 1,Beras
2017-06-15,10050,Beras Kualitas Bawah 1,Beras
2017-06-16,10050,Beras Kualitas Bawah 1,Beras
2017-06-19,10050,Beras Kualitas Bawah 1,Beras
2017-06-20,10100,Beras Kualitas Bawah 1,Beras
2017-06-21,10100,Beras Kualitas Bawah 1,Beras
2017-06-22,10100,Beras Kualitas Bawah 1,Beras
2017-06-23,8500,Beras Kualitas Bawah 1,Beras
2017-07-03,10050,Beras Kualitas Bawah 1,Beras
2017-07-04,10050,Beras Kualitas Bawah 1,Beras
2017-07-05,10050,Beras Kualitas Bawah 1,Beras
2017-07-06,10100,Beras Kualitas Bawah 1,Beras
2017-07-07,10100,Beras Kualitas Bawah 1,Beras
2017-07-10,10050,Beras Kualitas Bawah 1,Beras
2017-07-11,10100,Beras Kualitas Bawah 1,Beras
2017-07-12,10100,Beras Kualitas Bawah 1,Beras
2017-07-13,10100,Beras Kualitas Bawah 1,Beras
2017-07-14,10100,Beras Kualitas Bawah 1,Beras
2017-07-17,10100,Beras Kualitas Bawah 1,Beras
2017-07-18,10100,Beras Kualitas Bawah 1,Beras
2017-07-19,10100,Beras Kualitas Bawah 1,Beras
2017-07-20,10050,Beras Kualitas Bawah 1,Beras
2017-07-21,10100,Beras Kualitas Bawah 1,Beras
2017-07-24,10100,Beras Kualitas Bawah 1,Beras
2017-07-25,10050,Beras Kualitas Bawah 1,Beras
2017-07-26,10050,Beras Kualitas Bawah 1,Beras
2017-07-27,10050,Beras Kualitas Bawah 1,Beras
2017-07-28,10050,Beras Kualitas Bawah 1,Beras
2017-07-31,10050,Beras Kualitas Bawah 1,Beras
2017-08-01,10050,Beras Kualitas Bawah 1,Beras
2017-08-02,10050,Beras Kualitas Bawah 1,Beras
2017-08-03,10050,Beras Kualitas Bawah 1,Beras
2017-08-04,10050,Beras Kualitas Bawah 1,Beras
2017-08-07,10050,Beras Kualitas Bawah 1,Beras
2017-08-08,10050,Beras Kualitas Bawah 1,Beras
2017-08-09,10050,Beras Kualitas Bawah 1,Beras
2017-08-10,10050,Beras Kualitas Bawah 1,Beras
2017-08-11,10100,Beras Kualitas Bawah 1,Beras
2017-08-14,10050,Beras Kualitas Bawah 1,Beras
2017-08-15,10050,Beras Kualitas Bawah 1,Beras
2017-08-16,10050,Beras Kualitas Bawah 1,Beras
2017-08-18,10050,Beras Kualitas Bawah 1,Beras
2017-08-21,10050,Beras Kualitas Bawah 1,Beras
2017-08-22,10050,Beras Kualitas Bawah 1,Beras
2017-08-23,10050,Beras Kualitas Bawah 1,Beras
2017-08-24,10100,Beras Kualitas Bawah 1,Beras
2017-08-25,10050,Beras Kualitas Bawah 1,Beras
2017-08-28,10000,Beras Kualitas Bawah 1,Beras
2017-08-29,10050,Beras Kualitas Bawah 1,Beras
2017-08-30,10050,Beras Kualitas Bawah 1,Beras
2017-08-31,10050,Beras Kualitas Bawah 1,Beras
2017-09-04,10050,Beras Kualitas Bawah 1,Beras
2017-09-05,10100,Beras Kualitas Bawah 1,Beras
2017-09-06,10100,Beras Kualitas Bawah 1,Beras
2017-09-07,10100,Beras Kualitas Bawah 1,Beras
2017-09-08,10200,Beras Kualitas Bawah 1,Beras
2017-09-11,10100,Beras Kualitas Bawah 1,Beras
2017-09-12,10100,Beras Kualitas Bawah 1,Beras
2017-09-13,10100,Beras Kualitas Bawah 1,Beras
2017-09-14,10100,Beras Kualitas Bawah 1,Beras
2017-09-15,10100,Beras Kualitas Bawah 1,Beras
2017-09-18,10100,Beras Kualitas Bawah 1,Beras
2017-09-19,10100,Beras Kualitas Bawah 1,Beras
2017-09-20,10150,Beras Kualitas Bawah 1,Beras
2017-09-22,10150,Beras Kualitas Bawah 1,Beras
2017-09-25,10150,Beras Kualitas Bawah 1,Beras
2017-09-26,10100,Beras Kualitas Bawah 1,Beras
2017-09-27,10150,Beras Kualitas Bawah 1,Beras
2017-09-28,10150,Beras Kualitas Bawah 1,Beras
2017-09-29,10150,Beras Kualitas Bawah 1,Beras
2017-10-02,10150,Beras Kualitas Bawah 1,Beras
2017-10-03,10150,Beras Kualitas Bawah 1,Beras
